#1805,"Off-Market on 04/12/2018 at $3,478",studio,1 bath,780 ftsq
#1807,"Off-Market on 03/27/2018 at $5,028",2 beds,1 bath,"1,075 ftsq"
#1808,"Off-Market on 08/21/2014 at $3,062",studio,1 bath,
#1809,"Off-Market on 04/20/2015 at $3,224",studio,1 bath,582 ftsq
#1810,"Off-Market on 07/19/2018 at $3,270",2 beds,1 bath,583 ftsq
#1811,"Off-Market on 03/25/2013 at $3,059",studio,1 bath,578 ftsq
#1812,"Off-Market on 07/08/2015 at $6,197",2 beds,2 baths,"1,310 ftsq"
#1813,"Off-Market on 09/20/2017 at $3,779",studio,1 bath,826 ftsq
#1814,"Off-Market on 04/05/2018 at $3,668",studio,1 bath,766 ftsq
#1815,"Off-Market on 01/02/2018 at $3,149",studio,1 bath,533 ftsq
#1818,"Off-Market on 05/19/2017 at $3,075",studio,1 bath,636 ftsq
#1819,"Off-Market on 03/15/2018 at $3,210",studio,1 bath,616 ftsq
#1820,Off-Market,,,
#1821,"Off-Market on 06/15/2018 at $3,995",1 bed,1 bath,711 ftsq
#1822,"Off-Market on 07/26/2018 at $5,545",2 beds,2 baths,"1,022 ftsq"
#1823,"Off-Market on 04/24/2018 at $3,150",studio,1 bath,556 ftsq
#1824,"Off-Market on 03/23/2018 at $3,740",studio,1 bath,931 ftsq
#1825,"Off-Market on 06/02/2018 at $3,710",studio,1 bath,943 ftsq
#1901,"Off-Market on 07/07/2018 at $2,880",studio,1 bath,467 ftsq
#1902,"Off-Market on 03/19/2013 at $2,610",studio,1 bath,444 ftsq
#1903,"Off-Market on 02/26/2015 at $2,907",studio,1 bath,454 ftsq
#1904,"Off-Market on 12/02/2016 at $3,713",studio,1 bath,815 ftsq
#1905,"Off-Market on 05/01/2014 at $3,324",studio,1 bath,780 ftsq
#1907,"Off-Market on 04/17/2009 at $5,665",2 beds,1 bath,
#1908,"Off-Market on 07/21/2018 at $3,203",studio,1 bath,575 ftsq
#1909,"Off-Market on 10/09/2015 at $3,429",studio,1 bath,582 ftsq
#1910,"Off-Market on 05/16/2018 at $3,181",studio,1 bath,583 ftsq
#1911,"Off-Market on 03/04/2016 at $3,026",studio,1 bath,578 ftsq
#1912,"Off-Market on 05/07/2014 at $5,628",2 beds,2 baths,"1,310 ftsq"
#1913,"Off-Market on 05/27/2016 at $3,970",studio,1 bath,826 ftsq
