#-802,Off-Market,,,
#2014,"Sold on 04/23/2013 for $1,757,500",2 beds,2 baths,"2,028 ftsq"
#2014CK,Off-Market,,,
#2014LZ,Off-Market,,,
#2016,"Sold on 11/06/2017 for $2,075,000",2 beds,2 baths,"1,727 ftsq"
#2020,"Sold on 02/11/2016 for $3,250,000",3 beds,3 baths,"2,300 ftsq"
#2022,"Off-Market on 10/05/2018 at $3,500",1 bed,1 bath,725 ftsq
#2024,"Off-Market on 06/03/2011 at $1,200,000",1 bed,2 baths,"1,508 ftsq"
#2026,"Off-Market on 02/11/2010 at $4,850",1 bed,1 bath,
#2028,"Sold on 02/22/2007 for $775,000",,,
#2030,"Off-Market on 01/26/2010 at $1,100,000",2 beds,1 bath,"1,430 ftsq"
#2100,"Sold on 11/01/2006 for $1,349,181",,,
#2102,"Off-Market on 09/01/2018 at $4,250",1 bed,1 bath,"1,050 ftsq"
#2104,"Sold on 12/14/2006 for $985,000",studio,1 bath,"1,175 ftsq"
#2106,"Off-Market on 01/27/2015 at $4,700",2 beds,1 bath,"1,100 ftsq"
#2108,"Off-Market on 05/19/2018 at $3,000",studio,1 bath,659 ftsq
#2108F,"Off-Market on 07/22/2009 at $3,000",studio,1 bath,671 ftsq
#2110,"Off-Market on 10/06/2008 at $12,000",3 beds,3 baths,"2,220 ftsq"
#2112,"Listed for sale at $2,395,000",2 beds,2 baths,"1,807 ftsq"
#2116,"Sold on 08/24/2016 for $2,080,000",1 bed,2 baths,"1,727 ftsq"
#2120,"Off-Market on 12/08/2017 at $3,145,000",3 beds,3 baths,"2,300 ftsq"
#2122,"Sold on 06/27/2006 for $491,790",,,
#2124,"Sold on 10/15/2015 for $1,700,000",studio,2 baths,"1,509 ftsq"
#2128,"Listed for sale at $1,000,000",1 bed,1 bath,914 ftsq
#2130,"Sold on 04/16/2007 for $1,085,000",,,
#2200,"Sold on 07/10/2006 for $1,766,663",,,
#2202,"Off-Market on 06/02/2016 at $4,650",studio,1 bath,"1,100 ftsq"
#2204,"Off-Market on 02/28/2018 at $4,600",2 beds,1 bath,"1,183 ftsq"
#2206,"Listed for rent at $4,500",2 beds,1 bath,915 ftsq
#2208,"Off-Market on 02/19/2018 at $3,100",studio,1 bath,660 ftsq
#2210,"Off-Market on 07/16/2010 at $2,700,000",3 beds,3 baths,"2,220 ftsq"
#2212,"Sold on 04/23/2014 for $1,675,000",2 beds,2 baths,"1,800 ftsq"
#2214,"Off-Market on 07/12/2016 at $8,250",2 beds,2 baths,"1,973 ftsq"
#2220,"Off-Market on 08/22/2018 at $2,995,000",3 beds,3 baths,"2,300 ftsq"
#2222,"Sold on 05/31/2018 for $927,000",studio,1 bath,691 ftsq
#2224,"Off-Market on 07/09/2011 at $1,250,000",1 bed,2 baths,"1,509 ftsq"
#2226,"Sold on 09/16/2016 for $1,615,000",1 bed,2 baths,"1,403 ftsq"
#2228,"Off-Market on 02/08/2012 at $4,900",studio,1 bath,940 ftsq
#2228CK,Off-Market,,,
#2228LZ,Off-Market,,,
#2230,"Sold on 06/24/2010 for $995,000",studio,1 bath,"1,418 ftsq"
#2300,"Sold on 01/14/2014 for $1,960,000",2 beds,2 baths,"1,945 ftsq"
#2302,"Sold on 12/22/2011 for $922,500",studio,1 bath,"1,061 ftsq"
#2304,"Off-Market on 08/30/2017 at $7,500",studio,1 bath,"1,183 ftsq"
#2306,"Sold on 02/12/2016 for $1,280,000",2 beds,1 bath,"1,086 ftsq"
#2308,"Off-Market on 10/13/2012 at $1,775,000",2 beds,2 baths,"1,425 ftsq"
#2310,"Listed for sale at $2,500,000",2 beds,2 baths,"1,763 ftsq"
#2312,"Off-Market on 12/13/2013 at $4,500",1 bed,1 bath,"1,274 ftsq"
#2314,"Listed for rent at $7,995",2 beds,2 baths,"1,866 ftsq"
#2316,"Sold on 07/12/2018 for $1,350,000",studio,1 bath,"1,175 ftsq"
#2320,"Sold on 12/18/2018 for $2,150,000",2 beds,2.5 baths,"1,772 ftsq"
#2322,"Sold on 08/08/2006 for $707,683",,,
#2324,"Sold on 06/01/2011 for $660,000",1 bed,1 bath,700 ftsq
#2326,"Sold on 06/10/2010 for $1,045,000",2 beds,2 baths,
#2328,"Sold on 03/29/2016 for $1,650,000",2 beds,2 baths,"1,345 ftsq"
#2330,"Sold on 09/16/2013 for $880,000",1 bed,1 bath,821 ftsq
#2332,"Off-Market on 01/28/2015 at $1,350,000",studio,1 bath,"1,367 ftsq"
#2400,"Sold on 08/01/2014 for $1,970,000",2 beds,2 baths,"1,734 ftsq"
#2402,"Sold on 09/17/2008 for $1,100,000",1 bed,1 bath,"1,050 ftsq"
#2404,"Sold on 01/27/2012 for $1,350,000",1 bed,2 baths,"1,608 ftsq"
#2406,Sold on 09/02/2009 for $0,,,
#2410,"Sold on 08/07/2008 for $2,200,000",2 beds,2 baths,"1,735 ftsq"
#2412,"Sold on 08/10/2018 for $1,745,000",1 bed,2 baths,"1,451 ftsq"
#2414,"Listed for rent at $4,700",1 bed,1 bath,"1,105 ftsq"
#2416,"Sold on 09/21/2009 for $1,385,000",1 bed,2 baths,"1,476 ftsq"
#2420,"Sold on 10/15/2015 for $2,300,000",3 beds,2 baths,"1,800 ftsq"
#2422,"Off-Market on 09/28/2013 at $3,300",1 bed,1 bath,750 ftsq
#2424,Sold on 05/17/2011 for $0,studio,2 baths,"1,279 ftsq"
#2426,"Sold on 03/23/2007 for $1,298,268",,,
#2428,"Off-Market on 09/03/2014 at $3,400",studio,1 bath,
#2430,"Sold on 11/18/2013 for $1,215,000",3 beds,1 bath,"1,145 ftsq"
#2500,"Off-Market on 08/16/2018 at $7,495",2 beds,2 baths,"1,734 ftsq"
#2502,"Off-Market on 07/27/2016 at $4,650",2 beds,1 bath,"1,100 ftsq"
#2504,"Off-Market on 05/25/2012 at $6,199",2 beds,2 baths,"1,608 ftsq"
#2506,"Off-Market on 10/14/2017 at $6,000",2 beds,2 baths,"1,319 ftsq"
#2510,"Off-Market on 12/10/2010 at $1,995,000",3 beds,2 baths,"1,734 ftsq"
#2512,"Off-Market on 11/15/2011 at $1,399,000",1 bed,1 bath,"1,500 ftsq"
#2514,"Off-Market on 12/18/2016 at $4,500",1 bed,1 bath,"1,105 ftsq"
#2516,"Listed for sale at $1,770,000",2 beds,2 baths,"1,476 ftsq"
#2520,"Off-Market on 12/04/2018 at $2,465,000",3 beds,2 baths,"1,777 ftsq"
#2522,"Off-Market on 02/24/2017 at $3,250",studio,1 bath,685 ftsq
#2524,"Sold on 07/01/2013 for $1,241,000",studio,2 baths,"1,279 ftsq"
#2526,"Sold on 12/07/2006 for $992,793",,,
#2528,Sold on 09/22/2016 for $0,studio,1 bath,700 ftsq
#2530,"Off-Market on 03/01/2010 at $4,300",2 beds,1 bath,
#2600,"Sold on 07/01/2013 for $1,775,000",2 beds,2 baths,"1,734 ftsq"
#2602,"Sold on 02/21/2007 for $900,000",1 bed,1 bath,"1,028 ftsq"
#2604,"Sold on 12/31/2013 for $1,630,000",2 beds,2 baths,"1,608 ftsq"
#2606,"Sold on 02/26/2007 for $870,603",,,
#2610,Sold on 03/02/2017 for $0,3 beds,2 baths,"1,724 ftsq"
#2612,"Off-Market on 06/06/2012 at $5,000",2 beds,2 baths,"1,451 ftsq"
#2614,"Off-Market on 10/24/2016 at $4,600",1 bed,1 bath,"1,105 ftsq"
#2616,"Sold on 07/29/2014 for $1,612,500",2 beds,2 baths,"1,476 ftsq"
#2620,"Sold on 01/31/2013 for $1,813,900",3 beds,2 baths,"1,777 ftsq"
#2622,"Sold on 02/01/2018 for $912,000",studio,1 bath,685 ftsq
#2624,"Off-Market on 11/22/2013 at $5,300",2 beds,2 baths,"1,279 ftsq"
#2626,"Off-Market on 11/10/2016 at $5,500",2 beds,2 baths,"1,255 ftsq"
#2628,"Sold on 08/19/2016 for $920,000",studio,1 bath,689 ftsq
#2630,"Sold on 09/17/2014 for $1,225,000",studio,1 bath,"1,200 ftsq"
#2700,"Off-Market on 03/02/2018 at $2,195,000",2 beds,2 baths,"1,734 ftsq"
#2702,"Sold on 07/24/2006 for $692,410",,,
#2704,Sold on 11/06/2014 for $0,2 beds,2 baths,"1,608 ftsq"
#2705,"Off-Market on 03/03/2017 at $15,250",3 beds,3.5 baths,"2,850 ftsq"
#2706,Sold on 11/06/2014 for $0,2 beds,2 baths,"1,300 ftsq"
#2710,"Sold on 08/29/2008 for $1,821,000",2 beds,2 baths,"1,638 ftsq"
#2712,"Sold on 06/08/2015 for $1,600,000",1 bed,2 baths,"1,425 ftsq"
#2714,"Sold on 11/20/2015 for $1,975,000",2 beds,2 baths,"1,674 ftsq"
#2720,"Off-Market on 10/01/2008 at $2,275,000",2 beds,2 baths,"1,908 ftsq"
#2722,"Off-Market on 08/20/2018 at $5,900",1 bed,2 baths,"1,351 ftsq"
#2724,"Sold on 01/16/2007 for $967,337",,,
#2726,"Off-Market on 01/19/2017 at $5,225",2 beds,2 baths,"1,242 ftsq"
#2728,"Off-Market on 07/19/2013 at $3,100",studio,1 bath,655 ftsq
#2730,"Sold on 01/11/2007 for $967,337",,,
#2800,"Sold on 08/08/2006 for $1,461,188",,,
#2802,"Off-Market on 08/28/2017 at $1,425,000",2 beds,1 bath,970 ftsq
#2804,"Off-Market on 02/19/2010 at $3,850",1 bed,1 bath,"1,085 ftsq"
#2806,"Sold on 06/16/2011 for $1,200,000",1 bed,2 baths,"1,485 ftsq"
#2808,"Off-Market on 09/01/2015 at $3,999",1 bed,1 bath,
