#1201,"Off-Market on 04/05/2018 at $2,650",studio,1 bath,585 ftsq
#1202,"Off-Market on 03/21/2012 at $2,395",studio,1 bath,542 ftsq
#1202A,"Off-Market on 09/16/2010 at $495,000",1 bed,1 bath,545 ftsq
#1203,"Sold on 12/30/2013 for $554,946",studio,1 bath,521 ftsq
#1204,"Off-Market on 06/18/2018 at $2,825",studio,1 bath,589 ftsq
#1205,"Off-Market on 03/28/2017 at $2,650",studio,1 bath,
#1206,"Sold on 06/17/2013 for $63,374,561",,,
#1207,"Off-Market on 03/09/2015 at $3,250",1 bed,1 bath,
#1208,"Sold on 08/28/2008 for $637,679",,,
#1209,"Listed for rent at $3,700",2 beds,1 bath,659 ftsq
#1210,"Off-Market on 06/13/2018 at $3,500",2 beds,1 bath,700 ftsq
#1211,"Off-Market on 10/09/2015 at $2,850",studio,1 bath,555 ftsq
#1212,"Sold on 03/21/2012 for $555,000",studio,1 bath,624 ftsq
#1213,"Off-Market on 06/26/2018 at $3,900",2 beds,1 bath,632 ftsq
#1214,"Off-Market on 01/13/2017 at $3,250",1 bed,1 bath,
#1215,"Sold on 04/12/2013 for $592,000",studio,1 bath,604 ftsq
#1216,"Off-Market on 02/28/2018 at $2,599",studio,1 bath,493 ftsq
#1217,"Sold on 11/09/2010 for $460,000",,,
#1218,"Listed for rent at $3,900",1 bed,1 bath,798 ftsq
#1219,"Sold on 07/11/2012 for $505,000",studio,1 bath,516 ftsq
#1220,"Sold on 07/25/2018 for $1,560,000",2 beds,2 baths,"1,124 ftsq"
#1221,"Sold on 05/25/2012 for $1,050,000",2 beds,2 baths,"1,116 ftsq"
#1222,"Sold on 12/16/2011 for $525,000",studio,1 bath,604 ftsq
#1223,"Off-Market on 10/30/2018 at $3,100",1 bed,1 bath,600 ftsq
#1224,"Sold on 07/25/2017 for $750,000",studio,1 bath,669 ftsq
#1225,"Off-Market on 07/18/2017 at $3,300",studio,1 bath,650 ftsq
#1232,"Sold on 04/09/2010 for $73,123,490",,,
#1302,"Off-Market on 07/04/2010 at $495,000",studio,1 bath,542 ftsq
#1401,"Sold on 02/14/2014 for $970,000",2 beds,1 bath,837 ftsq
#1402,"Off-Market on 02/04/2014 at $1,350,000",2 beds,2 baths,"1,153 ftsq"
#1403,"Sold on 06/15/2017 for $2,275,000",2 beds,2 baths,
#1404,"Off-Market on 08/22/2018 at $3,950",1 bed,1 bath,679 ftsq
#1405,"Sold on 10/17/2011 for $865,000",1 bed,1 bath,796 ftsq
#1406,"Off-Market on 04/14/2017 at $4,295",1 bed,1 bath,
#1407,"Off-Market on 12/11/2013 at $4,250",1 bed,1 bath,754 ftsq
#1408,"Sold on 03/30/2017 for $1,137,500",1 bed,1 bath,735 ftsq
#1409,"Sold on 06/19/2018 for $1,485,000",1 bed,1 bath,970 ftsq
#1410,"Sold on 06/30/2010 for $770,000",1 bed,1 bath,958 ftsq
#1411,"Sold on 04/20/2017 for $900,000",1.5 beds,1 bath,
#1412,"Off-Market on 02/23/2018 at $2,850",studio,1 bath,580 ftsq
#1413,"Off-Market on 06/01/2018 at $2,550",2 beds,1 bath,552 ftsq
#1501,"Sold on 06/23/2015 for $995,000",1 bed,1 bath,893 ftsq
#1502,Sold on 10/06/2017 for $0,2 beds,2 baths,"1,169 ftsq"
#1503,"Sold on 10/24/2008 for $1,349,181",2 beds,2 baths,
#1504,"Sold on 09/25/2013 for $692,410",,,
#1505,"Sold on 02/08/2011 for $672,045",,,
#1506,"Sold on 09/12/2008 for $911,333",1 bed,1 bath,
#1507,"Off-Market on 07/17/2017 at $3,200",1 bed,1 bath,720 ftsq
#1508,"Sold on 12/04/2008 for $773,870",1 bed,1 bath,738 ftsq
#1509,"Sold on 10/08/2008 for $797,086",,,
#1510,"Off-Market on 09/14/2016 at $3,995",2 beds,1 bath,980 ftsq
#1511,"Off-Market on 11/20/2018 at $3,450",1 bed,1 bath,790 ftsq
#1512,"Sold on 07/19/2012 for $537,000",studio,1 bath,577 ftsq
#1513,"Sold on 07/19/2012 for $507,500",,,
#1601,"Off-Market on 08/22/2018 at $4,650",2 beds,2 baths,
#1602,"Sold on 08/26/2008 for $1,221,900",2 beds,2 baths,"1,153 ftsq"
#1603,Sold on 03/31/2015 for $0,,,
#1604,"Off-Market on 04/23/2013 at $3,300",1 bed,1 bath,720 ftsq
#1605,"Sold on 04/26/2012 for $1,610,000",1 bed,1 bath,796 ftsq
#1606,"Off-Market on 08/31/2015 at $8,000",3 beds,3 baths,
#1607,"Sold on 08/08/2011 for $655,000",1 bed,1 bath,754 ftsq
#1608,"Off-Market on 05/09/2017 at $3,600",1 bed,1 bath,740 ftsq
#1609,"Sold on 11/21/2008 for $916,425",,,
